iter	Passed	Remaining
1007	3136	6197
1008	3137	6191
1009	3138	6184
1010	3140	6177
1011	3143	6174
1012	3145	6169
1013	3148	6166
1014	3152	6164
1015	3154	6159
1016	3156	6154
1017	3158	6148
1018	3159	6142
1019	3161	6136
1020	3162	6130
1021	3164	6124
1022	3165	6118
1023	3167	6111
1024	3168	6105
1025	3170	6099
1026	3171	6093
1027	3173	6086
1028	3174	6081
1029	3176	6075
1030	3177	6068
1031	3179	6063
1032	3181	6057
1033	3182	6051
1034	3183	6044
1035	3185	6038
1036	3186	6032
1037	3188	6026
1038	3189	6020
1039	3191	6014
1040	3192	6007
1041	3194	6002
1042	3195	5996
1043	3197	5990
1044	3198	5984
1045	3199	5977
1046	3201	5971
1047	3202	5965
1048	3203	5958
1049	3205	5952
1050	3206	5947
1051	3208	5941
1052	3209	5935
1053	3211	5929
1054	3213	5924
1055	3214	5917
1056	3216	5911
1057	3217	5905
1058	3218	5899
1059	3220	5893
1060	3221	5887
1061	3223	5881
1062	3224	5875
1063	3226	5870
1064	3227	5864
1065	3229	5858
1066	3230	5852
1067	3231	5846
1068	3232	5839
1069	3234	5833
1070	3235	5827
1071	3236	5821
1072	3238	5815
1073	3239	5809
1074	3240	5803
1075	3242	5797
1076	3243	5791
1077	3245	5786
1078	3246	5779
1079	3247	5773
1080	3248	5767
1081	3250	5762
1082	3251	5756
1083	3253	5750
1084	3254	5744
1085	3255	5738
1086	3256	5731
1087	3258	5725
1088	3259	5719
1089	3260	5713
1090	3261	5706
1091	3262	5701
1092	3264	5695
1093	3265	5689
1094	3266	5682
1095	3267	5676
1096	3268	5670
1097	3270	5665
1098	3271	5659
1099	3273	5653
1100	3274	5647
1101	3275	5641
1102	3276	5635
1103	3278	5629
1104	3279	5624
1105	3280	5618
1106	3282	5612
1107	3283	5606
1108	3284	5600
1109	3285	5594
1110	3286	5588
1111	3288	5582
1112	3289	5577
1113	3290	5571
1114	3291	5565
1115	3292	5559
1116	3294	5552
1117	3295	5547
1118	3296	5541
1119	3297	5535
1120	3298	5529
1121	3300	5524
1122	3301	5518
1123	3303	5512
1124	3305	5508
1125	3309	5508
1126	3311	5503
1127	3313	5498
1128	3315	5494
1129	3317	5489
1130	3319	5484
1131	3321	5480
1132	3322	5475
1133	3324	5471
1134	3326	5466
1135	3328	5461
1136	3331	5459
1137	3337	5461
1138	3343	5462
1139	3347	5461
1140	3349	5457
1141	3352	5454
1142	3354	5449
1143	3355	5444
1144	3357	5438
1145	3359	5434
1146	3360	5429
1147	3362	5425
1148	3368	5426
1149	3370	5422
1150	3372	5417
1151	3374	5412
1152	3375	5407
1153	3377	5402
1154	3378	5396
1155	3379	5390
1156	3380	5385
1157	3382	5379
1158	3383	5375
1159	3385	5369
1160	3386	5363
1161	3387	5358
1162	3389	5353
1163	3390	5347
1164	3391	5341
1165	3392	5336
1166	3393	5330
1167	3394	5324
1168	3395	5318
1169	3397	5314
1170	3399	5309
1171	3400	5304
1172	3401	5298
1173	3403	5293
1174	3404	5287
1175	3405	5281
1176	3406	5276
1177	3407	5270
1178	3408	5264
1179	3409	5259
1180	3411	5254
1181	3413	5249
1182	3414	5244
1183	3415	5239
1184	3417	5234
1185	3418	5228
1186	3419	5223
1187	3421	5218
1188	3422	5212
1189	3423	5206
1190	3424	5201
1191	3426	5196
1192	3427	5191
1193	3428	5186
1194	3430	5181
1195	3431	5176
1196	3433	5171
1197	3434	5166
1198	3435	5160
1199	3436	5155
1200	3438	5149
1201	3439	5145
1202	3440	5139
1203	3441	5134
1204	3443	5128
1205	3444	5123
1206	3445	5118
1207	3446	5112
1208	3447	5107
1209	3448	5101
1210	3450	5097
1211	3451	5092
1212	3452	5086
1213	3454	5081
1214	3455	5076
1215	3456	5071
1216	3457	5065
1217	3459	5061
1218	3460	5056
1219	3461	5051
1220	3463	5045
1221	3464	5041
1222	3466	5036
1223	3467	5031
1224	3468	5025
1225	3469	5020
1226	3470	5015
1227	3471	5010
1228	3473	5004
1229	3474	4999
1230	3475	4994
1231	3476	4989
1232	3478	4984
1233	3479	4979
1234	3480	4973
1235	3481	4968
1236	3482	4963
1237	3483	4958
1238	3485	4953
1239	3486	4948
1240	3487	4943
1241	3489	4939
1242	3491	4934
1243	3492	4929
1244	3493	4924
1245	3494	4919
1246	3495	4914
1247	3496	4909
1248	3497	4903
1249	3499	4898
1250	3500	4893
1251	3501	4889
1252	3503	4884
1253	3504	4879
1254	3505	4874
1255	3506	4869
1256	3508	4865
1257	3511	4862
1258	3513	4857
1259	3514	4853
1260	3516	4849
1261	3518	4845
1262	3521	4842
1263	3523	4839
1264	3525	4835
1265	3526	4830
1266	3528	4825
1267	3529	4820
1268	3530	4816
1269	3532	4811
1270	3533	4807
1271	3535	4802
1272	3536	4797
1273	3538	4793
1274	3541	4791
1275	3545	4790
1276	3548	4787
1277	3551	4785
1278	3553	4781
1279	3554	4776
1280	3556	4773
1281	3559	4769
1282	3560	4765
1283	3562	4760
1284	3565	4758
1285	3567	4754
1286	3568	4749
1287	3570	4745
1288	3573	4743
1289	3574	4738
1290	3576	4733
1291	3578	4730
1292	3581	4728
1293	3583	4724
1294	3584	4719
1295	3587	4717
1296	3589	4713
1297	3590	4708
1298	3592	4704
1299	3595	4701
1300	3597	4697
1301	3598	4693
1302	3600	4689
1303	3603	4686
1304	3605	4682
1305	3606	4677
1306	3608	4673
1307	3610	4670
1308	3612	4667
1309	3614	4662
1310	3616	4659
1311	3619	4656
1312	3620	4651
1313	3621	4647
1314	3624	4644
1315	3626	4640
1316	3627	4636
1317	3629	4631
1318	3632	4628
1319	3634	4625
1320	3635	4620
1321	3637	4617
1322	3640	4614
1323	3642	4610
1324	3644	4607
1325	3647	4604
1326	3649	4600
1327	3650	4595
1328	3651	4591
1329	3655	4589
1330	3656	4585
1331	3658	4581
1332	3660	4578
1333	3663	4575
1334	3664	4570
1335	3666	4566
1336	3668	4562
1337	3670	4559
1338	3672	4555
1339	3674	4551
1340	3677	4549
1341	3679	4545
1342	3680	4541
1343	3683	4538
1344	3685	4535
1345	3687	4531
1346	3688	4526
1347	3690	4523
1348	3693	4520
1349	3694	4516
1350	3696	4511
1351	3698	4508
1352	3701	4505
1353	3704	4503
1354	3708	4502
1355	3710	4498
1356	3713	4496
1357	3715	4492
1358	3716	4488
1359	3718	4483
1360	3725	4485
1361	3727	4482
1362	3730	4480
1363	3733	4478
1364	3736	4475
1365	3739	4473
1366	3741	4469
1367	3743	4466
1368	3746	4464
1369	3748	4460
1370	3750	4456
1371	3753	4454
1372	3755	4450
1373	3757	4446
1374	3759	4443
1375	3762	4440
1376	3764	4436
1377	3766	4433
1378	3768	4430
1379	3770	4426
1380	3773	4423
1381	3775	4420
1382	3776	4415
1383	3779	4412
1384	3781	4410
1385	3783	4405
1386	3784	4401
1387	3787	4398
1388	3790	4396
1389	3791	4392
1390	3793	4388
1391	3797	4386
1392	3799	4382
1393	3800	4378
1394	3803	4376
1395	3806	4373
1396	3807	4368
1397	3810	4366
1398	3812	4362
1399	3814	4359
1400	3815	4355
1401	3818	4351
1402	3820	4348
1403	3822	4344
1404	3824	4341
1405	3827	4339
1406	3828	4334
1407	3829	4330
1408	3832	4327
1409	3834	4323
1410	3835	4319
1411	3837	4315
1412	3839	4312
1413	3841	4309
1414	3843	4305
1415	3844	4300
1416	3846	4296
1417	3847	4292
1418	3848	4288
1419	3850	4283
1420	3851	4279
1421	3853	4275
1422	3854	4271
1423	3855	4266
1424	3856	4262
1425	3858	4259
1426	3860	4254
1427	3861	4250
1428	3862	4246
1429	3863	4242
1430	3864	4237
1431	3866	4233
1432	3867	4229
1433	3868	4225
1434	3870	4220
1435	3871	4216
1436	3872	4212
1437	3873	4207
1438	3874	4203
1439	3876	4199
1440	3877	4194
1441	3878	4190
1442	3879	4186
1443	3881	4182
1444	3882	4177
1445	3883	4173
1446	3884	4169
1447	3885	4164
1448	3886	4160
1449	3888	4156
1450	3889	4152
1451	3891	4148
1452	3892	4144
1453	3893	4140
1454	3894	4135
1455	3896	4131
1456	3897	4127
1457	3898	4123
1458	3899	4118
1459	3900	4114
1460	3902	4110
1461	3903	4106
1462	3904	4102
1463	3905	4097
1464	3906	4093
1465	3908	4089
1466	3909	4085
1467	3910	4081
1468	3913	4078
1469	3915	4074
1470	3916	4071
1471	3919	4068
1472	3921	4064
1473	3923	4061
1474	3924	4057
1475	3926	4054
1476	3929	4051
1477	3931	4048
1478	3932	4044
1479	3933	4040
1480	3935	4036
1481	3936	4032
1482	3937	4028
1483	3938	4023
1484	3940	4020
1485	3941	4015
1486	3943	4012
1487	3945	4009
1488	3946	4005
1489	3947	4000
1490	3949	3997
1491	3950	3993
1492	3952	3989
1493	3953	3985
1494	3954	3981
1495	3955	3977
1496	3957	3972
1497	3958	3968
1498	3959	3964
1499	3960	3960
1500	3962	3956
1501	3963	3952
1502	3964	3948
1503	3966	3944
1504	3967	3940
1505	3968	3936
1506	3969	3932
1507	3970	3928
1508	3971	3924
1509	3973	3920
1510	3974	3916
1511	3975	3912
1512	3976	3908
1513	3978	3904
1514	3979	3900
1515	3980	3896
1516	3982	3892
1517	3983	3888
1518	3984	3885
1519	3985	3880
1520	3986	3876
1521	3988	3873
1522	3989	3869
1523	3991	3865
1524	3992	3861
1525	3993	3857
1526	3994	3853
1527	3995	3848
1528	3996	3844
1529	3997	3841
1530	3999	3837
1531	4000	3833
1532	4001	3829
1533	4003	3825
1534	4004	3821
1535	4005	3817
1536	4006	3813
1537	4007	3809
1538	4008	3805
1539	4010	3801
1540	4011	3797
1541	4012	3794
1542	4014	3790
1543	4015	3786
1544	4016	3782
1545	4018	3778
1546	4019	3774
1547	4020	3770
1548	4021	3767
1549	4022	3763
1550	4024	3759
1551	4025	3755
1552	4026	3751
1553	4027	3748
1554	4029	3743
1555	4030	3740
1556	4031	3736
1557	4032	3732
1558	4034	3728
1559	4035	3724
1560	4036	3721
1561	4038	3717
1562	4039	3713
1563	4040	3709
1564	4041	3706
1565	4042	3702
1566	4044	3698
1567	4045	3695
1568	4047	3691
1569	4048	3687
1570	4049	3683
1571	4051	3679
1572	4052	3676
1573	4053	3672
1574	4054	3668
1575	4055	3664
1576	4056	3660
1577	4057	3656
1578	4059	3652
1579	4060	3648
1580	4061	3645
1581	4063	3641
1582	4064	3637
1583	4065	3634
1584	4066	3630
1585	4067	3626
1586	4068	3622
1587	4069	3618
1588	4070	3614
1589	4072	3611
1590	4073	3607
1591	4074	3603
1592	4076	3600
1593	4077	3596
1594	4078	3592
1595	4079	3588
1596	4080	3585
1597	4082	3581
1598	4083	3577
1599	4084	3573
1600	4085	3570
1601	4086	3566
1602	4088	3562
1603	4089	3559
1604	4090	3555
1605	4091	3551
1606	4093	3548
1607	4094	3544
1608	4095	3540
1609	4096	3536
1610	4097	3533
1611	4099	3529
1612	4100	3526
1613	4101	3522
1614	4102	3518
1615	4104	3515
1616	4107	3512
1617	4109	3509
1618	4111	3506
1619	4112	3503
1620	4114	3500
1621	4116	3497
1622	4118	3494
1623	4119	3490
1624	4122	3488
1625	4124	3485
1626	4126	3482
1627	4127	3478
1628	4128	3474
1629	4129	3470
1630	4130	3467
1631	4132	3464
1632	4134	3460
1633	4135	3457
1634	4136	3453
1635	4138	3450
1636	4139	3446
1637	4141	3443
1638	4142	3439
1639	4143	3435
1640	4144	3432
1641	4146	3429
1642	4147	3425
1643	4148	3421
1644	4149	3418
1645	4151	3414
1646	4152	3411
1647	4153	3407
1648	4154	3404
1649	4159	3403
1650	4160	3399
1651	4162	3396
1652	4163	3392
1653	4164	3389
1654	4165	3385
1655	4166	3381
1656	4168	3378
1657	4170	3375
1658	4171	3371
1659	4172	3368
1660	4173	3364
1661	4175	3361
1662	4176	3357
1663	4177	3354
1664	4178	3350
1665	4180	3347
1666	4181	3343
1667	4182	3339
1668	4183	3336
1669	4185	3332
1670	4186	3329
1671	4187	3326
1672	4189	3322
1673	4190	3319
1674	4191	3315
1675	4192	3312
1676	4193	3308
1677	4194	3304
1678	4196	3301
1679	4197	3297
1680	4198	3294
1681	4200	3291
1682	4201	3287
1683	4202	3284
1684	4204	3280
